review_id,review,label
04033,"thú vui ẩm thực đường phố, bạn muốn ăn trên phố đây là một góc phố tuyệt vời để làm điều đó, thịt lợn cốt lết thực sự tươi và hương vị tuyệt vời",3
10032,nhạc sống điện thoại,3
11167,"amazing little bistro on a side street with food that leaves you satisfied and wanting more next day the special plate for 1 is full of delicious veggies and rolls, the service is like being with friends and family, thank you for the hospitality and great food quán ăn nhỏ tuyệt vời trên một con phố nhỏ với những món ăn khiến bạn hài lòng và muốn ăn thêm vào ngày hôm sau đĩa đặc biệt cho 1 người đầy ắp các loại rau và bánh cuộn ngon tuyệt, dịch vụ giống như đang ở cùng bạn bè và gia đình, cảm ơn vì lòng hiếu khách và đồ ăn tuyệt vời",3
11966,"the best banh canh cua mien xao in vietnam, thank you so much",3
11967,excellent banh canh cua,3
13536,"một nhà hàng mang đậm phong cách địa phương, họ dường như không nói tiếng anh, nhưng họ ra hiệu hỏi tôi phở khi tôi cho họ xem miếng thịt",3
14116,đây là những người rẻ tiền nhất mà bạn có thể ăn,3
14119,excellent cảm ơn nhiều,3
14208,"店員都很親切笑臉迎人食物好吃價格合理非常推薦 我來自台灣第一次來胡志明市旅遊 the store clerks are very friendly, they greet you with a smile the food is delicious and the price is reasonable, highly recommended i am from taiwan and this is my first time traveling to ho chi minh city 매장 직원은 매우 친절합니다, 미소로 맞이해 주죠 음식 맛있고 가격도 적당하고 강추합니다 저는 대만 출신이고 호치민시를 여행한 것은 이번이 처음입니다 nhân viên cửa hàng rất thân thiện, họ chào đón bạn bằng nụ cười đồ ăn ngon và giá cả hợp lý, rất đáng để thử tôi đến từ đài loan và đây là lần đầu tiên tôi đến thành phố hồ chí minh",3
15491,cảm ơn anh,3
15994,"im korean this is the best pizza ever i had, pasra is all also good",3
16013,"bounty application ứng dụng hot nhất mạng internet năm 2021 tạira mắt tuyển dụng chính thức, hỗ trợ cao hình thức toàn dân làm đại lý, đầu tư bằng 0, không có nguy cơ, thu nhập cao hoa hồng đại lý đạt đến, tuyển đại lý vô hạn, nhận hoa hồng mãi mãi lướt ngón tay thao tác miễn phí gia nhập bounty zalo",3
16071,"before i started the keto diet, this was my favorite pizza place in hanoi because the crust tastes good, it was a little unfortunate that you cant easily custom build your pizzas when ordering online, but they usually allowed me to substitute topping in the premade pizzas for the ones i wanted, they used to have a really good promotion where you could get 2 pizzas for a good price, but that has since been discontinued, if i stop this diet and can eat pizza again, i will check to see if they have started that 2 for 1 special again",3
16237,"it was not as delicious as i supported, place with small space but easy to find",3
16419,"waiting for more than 1 hour delivery, phone calls to the shop didnt help",3
17049,"i live close to here, ive tried a bunch of different places in the area to find my goto, this is the one, everything is perfect, the meat is amazing, the bun is bun, the service is friendly and fast, and the presentation is beautiful, highly recommended",3
17136,"the beef quality is exactly what recent reviewers have mentioned old, chewy, we could distinct the old and fresh beef served in our bowls, we could see the fresh beef still have raw sections, the old beef pieces were dark brown and chewy, thats when you know its bad, the broth flavor was underwhelming, theres an elderly gentleman who sells fried dough sticks, hes not associated with pho thin, a tray with 4 pieces cost 10k, if you decide to purcgase any from him, its simply for charity service, these fried dough sticks are not fresh, not hot, super greasy and appear to have been refried countless times",3
